geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
90440,-30.015640068555587,-51.19452507481667,porto alegre,RS
90440,-30.01584395697963,-51.19443946182707,porto alegre,RS
90440,-30.01584395697963,-51.19443946182707,porto alegre,RS
91920,-29.991935999999946,-51.11209249999996,porto alegre,RS
91920,-30.104977684142252,-51.23128281502103,porto alegre,RS
91920,-30.104977684142252,-51.23128281502103,porto alegre,RS
92020,-29.901609795405484,-51.16956459081098,canoas,RS
92020,-29.901609795405484,-51.16956459081098,canoas,RS
92020,-29.902601849298815,-51.17327339589721,canoas,RS
93224,-29.82400047179089,-51.13588074187182,sapucaia do sul,RS
93224,-29.82591147633204,-51.13176518634171,sapucaia do sul,RS
93224,-29.82591147633204,-51.13176518634171,sapucaia do sul,RS
98910,-27.713180999999945,-54.26528299999997,tres de maio,RS
98910,-27.754529259305038,-54.24277764056263,tres de maio,RS
98910,-27.762437769826104,-54.24047420095632,tres de maio,RS
99010,-28.23824120896581,-52.37134214772307,passo fundo,RS
99010,-28.238476267011425,-52.37148945082956,passo fundo,RS
99010,-28.23881247205094,-52.372547232266584,passo fundo,RS
99200,-28.829675999999946,-51.93217699999997,guapore,RS
99200,-28.83482875975841,-51.8956690905559,guapore,RS
99200,-28.837468613151852,-51.89429196504579,guapore,RS
99950,-28.057578835460937,-51.995940206538364,tapejara,RS
99950,-28.05793815981476,-51.996411765457225,tapejara,RS
99950,-28.05861768404697,-51.999520044020485,tapejara,RS
01036,-23.53975390802412,-46.64480666210705,sao paulo,SP
01036,-23.540176426812717,-46.64415913591924,sao paulo,SP
01036,-23.540176426812717,-46.64415913591924,sao paulo,SP
01317,-23.554133985636884,-46.638626176820445,sao paulo,SP
01317,-23.554133985636884,-46.638626176820445,sao paulo,SP
01317,-23.554133985636884,-46.638626176820445,são paulo,SP
01552,-23.561223537884473,-46.63156022690283,sao paulo,SP
01552,-23.56555295697963,-46.61139073645346,sao paulo,SP
01552,-23.56555295697963,-46.61139073645346,sao paulo,SP
02021,-23.496580818584338,-46.636546259367634,sao paulo,SP
02021,-23.496580818584338,-46.636546259367634,sao paulo,SP
02021,-23.496580818584338,-46.636546259367634,sao paulo,SP
02435,-23.475893363869773,-46.63299614709449,sao paulo,SP
02435,-23.476009756592983,-46.63326728351319,sao paulo,SP
02435,-23.47611191712795,-46.63325713749626,sao paulo,SP
02837,-23.460670616887704,-46.70142636993454,são paulo,SP
02837,-23.460686612396632,-46.700161058651666,sao paulo,SP
02837,-23.461048540106177,-46.70206484984706,sao paulo,SP
02813,-23.448717000000002,-46.7115109417162,sao paulo,SP
02813,-23.44883932608332,-46.71090705177771,sao paulo,SP
02813,-23.44899817929482,-46.71140279003405,sao paulo,SP
02845,-23.46244883152522,-46.69459744823706,sao paulo,SP
02845,-23.462890637803664,-46.69332192062438,sao paulo,SP
02845,-23.463365762421358,-46.69346006924809,sao paulo,SP
02936,-23.482187999999994,-46.7173225582838,são paulo,SP
02936,-23.483657693029055,-46.71694541243006,são paulo,SP
02936,-23.483757769073993,-46.71696906688319,sao paulo,SP
03063,-23.530453669715538,-46.55620020996593,sao paulo,SP
03063,-23.530453669715538,-46.55620020996593,sao paulo,SP
03063,-23.530453669715538,-46.55620020996593,sao paulo,SP
03006,-23.540241447400344,-46.62486527655961,sao paulo,SP
03006,-23.540241447400344,-46.62486527655961,sao paulo,SP
03006,-23.540831632812,-46.625853572854766,são paulo,SP
03035,-23.523172303075793,-46.614534437561254,sao paulo,SP
03035,-23.523172303075793,-46.614534437561254,sao paulo,SP
03035,-23.523562948381286,-46.61477080668247,são paulo,SP
03017,-23.532447184574945,-46.61401961463438,sao paulo,SP
03017,-23.532447184574945,-46.61401961463438,são paulo,SP
03017,-23.53259080821169,-46.61377231986845,são paulo,SP
03187,-23.55833851901435,-46.57922704065443,sao paulo,SP
03187,-23.55833851901435,-46.57922704065443,são paulo,SP
03187,-23.55833851901435,-46.57922704065443,sao paulo,SP
03195,-23.568510571373416,-46.583943773458614,sao paulo,SP
03195,-23.568510571373416,-46.583943773458614,sao paulo,SP
03195,-23.568570565641405,-46.5830325,sao paulo,SP
03273,-23.57439678212821,-46.56277825659299,são paulo,SP
03273,-23.575202329447748,-46.559582460038044,sao paulo,SP
03273,-23.575341635581964,-46.55953242630853,são paulo,SP
03694,-23.52590828864725,-46.474847333166245,sao paulo,SP
03694,-23.52590828864725,-46.474847333166245,sao paulo,SP
03694,-23.52590828864725,-46.474847333166245,sao paulo,SP
03821,-23.487265487650742,-46.50178866694557,sao paulo,SP
03821,-23.487265487650742,-46.50178866694557,sao paulo,SP
03821,-23.487265487650742,-46.50178866694557,são paulo,SP
04102,-23.5784451895666,-46.640425489179954,sao paulo,SP
04102,-23.57890176908647,-46.640154530122864,sao paulo,SP
04102,-23.579897981966592,-46.639529160713145,sao paulo,SP
04252,-23.608389384124877,-46.5990930992267,são paulo,SP
04252,-23.608451409660102,-46.59908215029715,sao paulo,SP
04252,-23.60989149347912,-46.598862624761935,são paulo,SP
04211,-23.585145150152925,-46.60860114931621,são paulo,SP
04211,-23.585986875382304,-46.608572299613336,são paulo,SP
04211,-23.587610605603338,-46.598702453372965,sao paulo,SP
04216,-23.58668117759777,-46.59920007865595,sao paulo,SP
04216,-23.588259317790985,-46.5990701493162,sao paulo,SP
04216,-23.588642999999948,-46.59907399999997,sao paulo,SP
04438,-23.671077370246408,-46.670121785186616,sao paulo,SP
04438,-23.671077370246408,-46.670121785186616,sao paulo,SP
04438,-23.67110347960066,-46.67012275965139,sao paulo,SP
04571,-23.598554039961936,-46.69082199665313,sao paulo,SP
04571,-23.598554039961936,-46.69082199665313,sao paulo,SP
04571,-23.598554039961936,-46.69082199665313,sao paulo,SP
04545,-23.59294902473867,-46.673291949350904,sao paulo,SP
04545,-23.59294902473867,-46.673291949350904,sao paulo,SP
04545,-23.5930291517977,-46.67349899070918,sao paulo,SP
04672,-23.659173314184297,-46.69883448903573,sao paulo,SP
04672,-23.660294594783306,-46.698230373160584,sao paulo,SP
04672,-23.660294594783306,-46.698230373160584,sao paulo,SP
04727,-23.63919685029652,-46.71939702367194,sao paulo,SP
04727,-23.63919685029652,-46.71939702367194,sao paulo,SP
04727,-23.63919685029652,-46.71939702367194,sao paulo,SP
05269,-23.430774698309172,-46.78940615667378,são paulo,SP
05269,-23.431754682209018,-46.78819471357261,sao paulo,SP
05269,-23.4320238753823,-46.79097630030583,sao paulo,SP
05334,-23.54587240827512,-46.74615502706444,sao paulo,SP
05334,-23.54616158228982,-46.74535414793121,são paulo,SP
05334,-23.546393842633712,-46.746368282128195,sao paulo,SP
05417,-23.554380530671118,-46.69637976242137,sao paulo,SP
05417,-23.554532556206333,-46.69584876242138,são paulo,SP
05417,-23.554945425471804,-46.69425421204341,são paulo,SP
05424,-23.567167707744233,-46.69594823397196,sao paulo,SP
05424,-23.567167707744233,-46.69594823397196,sao paulo,SP
05424,-23.567167707744233,-46.69594823397196,sao paulo,SP
05551,-23.586366384124872,-46.76182811878931,sao paulo,SP
05551,-23.586447384124867,-46.7619676187893,sao paulo,SP
05551,-23.586697131282797,-46.76250126963473,sao paulo,SP
05537,-23.583749092212692,-46.73472062372479,sao paulo,SP
05537,-23.583749092212692,-46.73472062372479,sao paulo,SP
05537,-23.583749092212692,-46.73472062372479,sao paulo,SP
38400,-18.885780911227492,-48.26573244514011,uberlandia,MG
38400,-18.885780911227492,-48.26573244514011,uberlândia,MG
38400,-18.885780911227492,-48.26573244514011,uberlândia,MG
38600,-17.117507999999948,-46.87264699999997,paracatu,MG
38600,-17.20467686630678,-46.872503797180364,paracatu,MG
38600,-17.20468058699456,-46.871530913757105,paracatu,MG
40296,-12.988459193422303,-38.47865710926516,salvador,BA
40296,-12.98846389073484,-38.4787721934223,salvador,BA
40296,-12.98915578496331,-38.478782694152216,salvador,BA
42711,-12.864956352484132,-38.32024605756362,lauro de freitas,BA
42711,-12.867804672619785,-38.319830258928604,lauro de freitas,BA
42711,-12.867804672619785,-38.319830258928604,lauro de freitas,BA
45602,-14.777114399774938,-39.284509214801574,itabuna,BA
45602,-14.777684227841437,-39.291518513464936,itabuna,BA
45602,-14.777684227841437,-39.291518513464936,itabuna,BA
50860,-8.086384517974238,-34.931399322904326,recife,PE
50860,-8.086384517974238,-34.931399322904326,recife,PE
50860,-8.089702866963549,-34.9295932556466,recife,PE
51350,-8.10112508456776,-34.92800356884931,recife,PE
51350,-8.10119068596279,-34.92799396864516,recife,PE
51350,-8.101470513435338,-34.92352554536503,recife,PE
53403,-7.955226283368959,-34.87077803067111,paulista,PE
53403,-7.955344205378311,-34.875663715794325,paulista,PE
53403,-7.955714871487153,-34.875325519014346,paulista,PE
54768,-7.988777723364555,-34.978736300314104,camaragibe,PE
54768,-8.006302959749592,-34.99121858228981,camaragibe,PE
54768,-8.007255953372946,-34.98834769692418,camaragibe,PE
54762,-8.020694137111171,-34.981149037480435,camaragibe,PE
54762,-8.021237349510724,-34.98224249548539,camaragibe,PE
54762,-8.021436674158938,-34.98212406174627,camaragibe,PE
55299,-8.875414999999947,-36.470519999999965,garanhuns,PE
55299,-8.876075711062455,-36.4680169314444,garanhuns,PE
55299,-8.877918530671119,-36.46743294809282,garanhuns,PE
55495,-8.448720459435641,-35.951890679778046,agrestina,PE
55495,-8.449718922140498,-35.94872978349121,agrestina,PE
55495,-8.452332281831508,-35.94482561028697,agrestina,PE
55790,-7.8973330473659145,-36.04858208860946,taquaritinga do norte,PE
55790,-7.900618499999993,-36.048156750000004,taquaritinga do norte,PE
55790,-7.900666175857991,-36.04563623442026,taquaritinga do norte,PE
55700,-7.831613999999945,-35.464062499999955,limoeiro,PE
55700,-7.8627129720647,-35.441832029645404,limoeiro,PE
55700,-7.864000578209157,-35.44174899474021,limoeiro,PE
56308,-9.380708870336695,-40.48556390332985,petrolina,PE
56308,-9.380708870336695,-40.48556390332985,petrolina,PE
56308,-9.389814291671177,-40.52536693680457,petrolina,PE
57303,-9.773677554743587,-36.64858519033526,arapiraca,AL
57303,-9.773677554743587,-36.64858519033526,arapiraca,AL
57303,-9.778262313415787,-36.64200939797018,arapiraca,AL
58053,-7.149420980298715,-34.85071173978882,joao pessoa,PB
58053,-7.149420980298715,-34.85071173978882,joao pessoa,PB
58053,-7.1494745861849625,-34.85069365139366,joão pessoa,PB
58063,-7.193404031495345,-34.85265127687982,joão pessoa,PB
58063,-7.193743239800327,-34.852699178602336,joao pessoa,PB
58063,-7.1941193471981055,-34.84978878546315,joao pessoa,PB
58400,-7.208209215650095,-35.90070750458762,campina grande,PB
58400,-7.20899926672053,-35.90182659562002,campina grande,PB
58400,-7.210293265335548,-35.90170791978764,campina grande,PB
58434,-7.228271419931876,-35.931975846932886,santa cecilia de umbuzeiro,PB
58434,-7.236537621136539,-35.92232439280995,campina grande,PB
58434,-7.237997857736182,-35.92526758333891,campina grande,PB
58995,-7.705123576558218,-38.15617420132262,manaíra,PB
58995,-7.705509994429813,-38.15469110761647,manaira,PB
58995,-7.7055283209948,-38.15639524860912,manaira,PB
59025,-5.781850899532547,-35.20561010768081,natal,RN
59025,-5.782442217323523,-35.20842108756994,natal,RN
59025,-5.782587862340554,-35.20442755078198,natal,RN
59091,-5.8786615526158625,-35.1990007644316,natal,RN
59091,-5.8786615526158625,-35.1990007644316,natal,RN
59091,-5.878753616945377,-35.19836368213405,natal,RN
62940,-4.576755964621752,-38.36516577193785,morada nova,CE
62940,-4.579016556452842,-38.35998576001665,morada nova,CE
62940,-5.030777999999945,-38.486280499999964,morada nova,CE
66017,-1.4062766333602659,-48.397615513994026,belem,PA
66017,-1.4062766333602659,-48.397615513994026,belem,PA
66017,-1.4062766333602659,-48.397615513994026,belem,PA
66813,-1.288813548964312,-48.465116516879576,belem,PA
66813,-1.289409560072823,-48.46484647359941,belem,PA
66813,-1.2901326586356834,-48.46456543536819,belem,PA
68627,-2.9750576550411694,-47.34976644237389,paragominas,PA
68627,-2.9846953356590635,-47.45475453846877,paragominas,PA
68627,-2.9846953356590635,-47.45475453846877,paragominas,PA
19010,-22.115843798955865,-51.40159437645955,presidente prudente,SP
19010,-22.115843798955865,-51.40159437645955,presidente prudente,SP
19010,-22.11610857361678,-51.38490352504951,presidente prudente,SP
19300,-21.996356569277534,-51.56500502235616,presidente bernardes,SP
19300,-21.99705305068801,-51.564682050034264,presidente bernardes,SP
19300,-21.99705305068801,-51.564682050034264,presidente bernardes,SP
19940,-22.808144999999946,-50.069802499999966,ibirarema,SP
19940,-22.80924825711131,-50.06858097920975,ibirarema,SP
19940,-22.809569942005936,-50.0717887927194,ibirarema,SP
20240,-22.914753171244744,-43.18950615681802,rio de janeiro,RJ
20240,-22.914753171244744,-43.18950615681802,rio de janeiro,RJ
20240,-22.914753171244744,-43.18950615681802,rio de janeiro,RJ
21031,-22.83943050568415,-43.25575961408611,rio de janeiro,RJ
21031,-22.839680556754598,-43.25585809576424,rio de janeiro,RJ
21031,-22.840215454613702,-43.254931074124165,rio de janeiro,RJ
21330,-22.876952877055736,-43.370426472387315,rio de janeiro,RJ
21330,-22.877012839027035,-43.37289138438466,rio de janeiro,RJ
21330,-22.877094153759604,-43.372980586184966,rio de janeiro,RJ
21371,-22.84314374355124,-43.332645520947594,rio de janeiro,RJ
21371,-22.843536726614367,-43.3344958215419,rio de janeiro,RJ
21371,-22.84359268526744,-43.332937502625725,rio de janeiro,RJ
21610,-22.859646065785622,-43.37444430697094,rio de janeiro,RJ
21610,-22.86039352541965,-43.37282408632919,rio de janeiro,RJ
21610,-22.86039352541965,-43.37282408632919,rio de janeiro,RJ
21630,-22.82132832983448,-43.41415915173188,rio de janeiro,RJ
21630,-22.821427927289474,-43.41116306509313,rio de janeiro,RJ
21630,-22.821663041434046,-43.41249353115268,rio de janeiro,RJ
23587,-22.876492434163413,-43.63194577988853,rio de janeiro,RJ
23587,-22.876492434163413,-43.63194577988853,rio de janeiro,RJ
23587,-22.87664249756742,-43.63309010372817,rio de janeiro,RJ
24120,-22.874540279618667,-43.09292680546332,niteroi,RJ
24120,-22.874540279618667,-43.09292680546332,niteroi,RJ
24120,-22.874540279618667,-43.09292680546332,niteroi,RJ
24130,-22.86456127171219,-43.08779432237862,niteroi,RJ
24130,-22.870455103433553,-43.0816846022914,niteroi,RJ
24130,-22.871355251345403,-43.07351982217903,niteroi,RJ
24440,-22.814563217580247,-43.05438389901901,sao goncalo,RJ
24440,-22.814848471721785,-43.054128052579934,sao goncalo,RJ
24440,-22.814848471721785,-43.054128052579934,sao goncalo,RJ
25070,-22.631471063507146,-43.24247563689694,duque de caxias,RJ
25070,-22.642399291894925,-43.24360450109402,duque de caxias,RJ
25070,-22.670341471280313,-43.265005284315386,duque de caxias,RJ
25255,-22.61256750897944,-43.282495330572395,duque de caxias,RJ
25255,-22.612780216788305,-43.282676615636774,duque de caxias,RJ
25255,-22.613401772197896,-43.28330069856962,duque de caxias,RJ
25571,-22.76049574113251,-43.34404561482011,sao joao de meriti,RJ
25571,-22.760743843728182,-43.3454355707614,sao joao de meriti,RJ
25571,-22.76093155117871,-43.34643229732371,sao joao de meriti,RJ
25651,-22.503010338887442,-43.149313140695845,petrópolis,RJ
25651,-22.517807352302636,-43.21116372119565,petropolis,RJ
25651,-22.519955966200737,-43.21091883685448,petropolis,RJ
26167,-22.700449990362813,-43.32898309106947,belford roxo,RJ
26167,-22.729987882145757,-43.37493025712843,belford roxo,RJ
26167,-22.729987882145757,-43.37493025712843,belford roxo,RJ
26281,-22.671573597923018,-43.45566128235486,nova iguacu,RJ
26281,-22.69967526944415,-43.47415904257873,nova iguacu,RJ
26281,-22.69967526944415,-43.47415904257873,nova iguacu,RJ
28605,-22.25715807062845,-42.45922884840652,nova friburgo,RJ
28605,-22.257785600037877,-42.45921454422316,nova friburgo,RJ
28605,-22.259158239408183,-42.522647980929996,nova friburgo,RJ
28860,-22.457972999999946,-42.13985299999996,casimiro de abreu,RJ
28860,-22.457972999999946,-42.13985299999996,casimiro de abreu,RJ
28860,-22.47133862772709,-42.08704778977403,casimiro de abreu,RJ
71680,-15.79205364240884,-47.8481517047861,brasília,DF
71680,-15.800289381614718,-47.81056644087946,brasília,DF
71680,-15.800822051286822,-47.808649210698036,brasilia,DF
72315,-15.819446093282755,-47.83730772857625,brasilia,DF
72315,-15.891598619682494,-48.10462545747434,brasilia,DF
72315,-15.891598619682494,-48.10462545747434,brasilia,DF
73950,-14.478394909678313,-46.495843507563436,alvorada do norte,GO
73950,-14.478807547200107,-46.51550481119957,alvorada do norte,GO
73950,-14.479715369788536,-46.513054517555666,alvorada do norte,GO
74075,-16.666303196304696,-49.26639808507988,goiânia,GO
74075,-16.666722,-49.26669975,goiania,GO
74075,-16.666722,-49.26669975,goiania,GO
74820,-16.68529488996877,-49.24619416316889,goiania,GO
74820,-16.700124882313915,-49.247059297490964,goiania,GO
74820,-16.700124882313915,-49.247059297490964,goiania,GO
75130,-16.361501863599997,-48.96460763343485,anapolis,GO
75130,-16.36315942528797,-48.963227387087386,anapolis,GO
75130,-16.36650806800801,-48.96600530216432,anapolis,GO
76200,-16.408071255016104,-51.10767901596681,iporá,GO
76200,-16.410014841419517,-51.10865324458077,ipora,GO
76200,-16.413040568647247,-51.112335953254984,ipora,GO
76380,-15.297782320168473,-49.121309255054506,goianesia,GO
76380,-15.298767455277128,-49.121678044779934,goianésia,GO
76380,-15.301049794158828,-49.120457422907236,goianesia,GO
76410,-14.295280936924623,-49.149898622103166,campinorte,GO
76410,-14.30253005993177,-49.15503000000001,campinorte,GO
76410,-14.30253005993177,-49.15503000000001,campinorte,GO
78520,-9.802595999999944,-54.624072499999954,guaranta do norte,MT
78520,-9.802595999999944,-54.624072499999954,guaranta do norte,MT
78520,-9.802595999999944,-54.624072499999954,guaranta do norte,MT
84200,-24.204020831903765,-49.648853453083845,jaguariaiva,PR
84200,-24.23759117023782,-49.69801275143346,jaguariaiva,PR
84200,-24.23759117023782,-49.69801275143346,jaguariaíva,PR
84635,-26.038163719441243,-50.835550514827126,paulo frontin,PR
84635,-26.03919858823145,-50.834623370942005,paulo frontin,PR
84635,-26.03919858823145,-50.834623370942005,paulo frontin,PR
85410,-24.500981999999944,-53.29346299999996,nova aurora,PR
85410,-24.518858512565192,-53.26789302916388,nova aurora,PR
85410,-24.519196089842264,-53.26832481405316,nova aurora,PR
85603,-26.003670174999968,-53.23275043899997,francisco beltrao,PR
85603,-26.003670174999968,-53.23275043899997,francisco beltrao,PR
85603,-26.003670174999968,-53.23275043899997,francisco beltrao,PR
85830,-24.289425967065586,-53.31267981145309,formosa do oeste,PR
85830,-24.290409299609625,-53.31161560505855,formosa do oeste,PR
85830,-24.290452833891294,-53.31241842395309,formosa do oeste,PR
87047,-23.40153,-51.877035,maringa,PR
87047,-23.403634746065027,-51.87364149334464,maringa,PR
87047,-23.404046997497986,-51.87577767857297,maringá,PR
87030,-23.40534176672944,-51.929580851170286,maringa,PR
87030,-23.40534176672944,-51.929580851170286,maringa,PR
87030,-23.405527599109792,-51.92727648281376,maringa,PR
87220,-23.53344261811305,-52.589741915395756,sao tome,PR
87220,-23.53354536414882,-52.58540917805095,sao tome,PR
87220,-23.534023301993823,-52.59245219370414,sao tome,PR
88085,-27.596851430042484,-48.57555872889177,florianopolis,SC
88085,-27.596851430042484,-48.57555872889177,florianopolis,SC
88085,-27.596851430042484,-48.57555872889177,florianopolis,SC
88200,-27.21201355913876,-48.60915437774152,tijucas,SC
88200,-27.21883903640147,-48.62347304357157,tijucas,SC
88200,-27.219227057614262,-48.63836151422928,tijucas,SC
29193,-19.815388218484667,-40.280392685912,aracruz,ES
29193,-19.82622528194552,-40.27864628910475,aracruz,ES
29193,-19.82626465152095,-40.278808020140495,aracruz,ES
29182,-20.037637201662243,-40.20037264862814,serra,ES
29182,-20.03920263748861,-40.1970734143488,serra,ES
29182,-20.04044747432149,-40.19420690782915,serra,ES
29500,-20.590830000000004,-41.555882059740355,alegre,ES
29500,-20.590830000000004,-41.555882059740355,alegre,ES
29500,-20.755611411235016,-41.53709823870783,alegre,ES
29690,-19.667071691203965,-40.83600078785233,itaguacu,ES
29690,-19.693926529042912,-40.83560150990099,itaguacu,ES
29690,-19.704078679543418,-40.784702264339515,itaguacu,ES
29960,-18.418784633386334,-39.709438186378115,conceicao da barra,ES
29960,-18.42167073628939,-39.7111409130145,conceicao da barra,ES
29960,-18.481196999999945,-39.82572349999995,conceicao da barra,ES
31570,-19.803810969359198,-43.98476632277277,belo horizonte,MG
31570,-19.803997423827024,-43.97635386663973,belo horizonte,MG
31570,-19.803997423827024,-43.97635386663973,belo horizonte,MG
31741,-19.817387319175957,-43.955566098938235,belo horizonte,MG
31741,-19.837551655622025,-43.94050827141177,belo horizonte,MG
31741,-19.837743150701176,-43.940344469184645,belo horizonte,MG
32141,-19.831021182740706,-44.0200068049554,contagem,MG
32141,-19.833004814464577,-44.01809118817871,contagem,MG
32141,-19.846467938325826,-44.04225023934035,contagem,MG
33120,-19.753169944493642,-43.83625469369616,santa luzia,MG
33120,-19.753468835006007,-43.83698207600583,santa luzia,MG
33120,-19.75395765979985,-43.83867797775653,santa luzia,MG
33925,-19.772648696293263,-43.99717416866995,ribeirao das neves,MG
33925,-19.774546274935553,-44.106490614438954,ribeirao das neves,MG
33925,-19.774649860118863,-43.98455144171618,ribeirao das neves,MG
34710,-19.875619737823932,-43.905101781709845,sabara,MG
34710,-19.87612465886387,-43.9037286341136,sabara,MG
34710,-19.876230557323794,-43.903855330163886,sabara,MG
36025,-21.768932883468416,-43.348946177709976,juiz de fora,MG
36025,-21.768937973628052,-43.349155831669435,juiz de fora,MG
36025,-21.76908885706043,-43.34999780322002,juiz de fora,MG
36680,-21.520324424395586,-43.01956268258483,sao joao nepomuceno,MG
36680,-21.520390197875038,-43.01905936055772,sao joao nepomuceno,MG
36680,-21.520479927503022,-43.018343988532095,sao joao nepomuceno,MG
36900,-20.04707475697823,-42.17837166391072,manhuacu,MG
36900,-20.048769999999934,-42.18108999999998,manhuacu,MG
36900,-20.048769999999934,-42.18108999999998,manhuacu,MG
37580,-22.417668,-46.5785865,monte siao,MG
37580,-22.418769039581516,-46.57790898680617,monte siao,MG
37580,-22.418846476159526,-46.57850572658434,monte siao,MG
12042,-23.028599551595214,-45.61399712846564,taubaté,SP
12042,-23.03416334412696,-45.616345046236276,taubate,SP
12042,-23.03416334412696,-45.616345046236276,taubate,SP
12960,-23.154953470420146,-46.3901097856156,nazare paulista,SP
12960,-23.15606851829078,-46.39121810943063,nazaré paulista,SP
12960,-23.15686852304036,-46.39203702803377,nazare paulista,SP
13040,-22.923162117911488,-47.064671062707696,campinas,SP
13040,-22.924865242022033,-47.06513844962203,campinas,SP
13040,-22.925851218708512,-47.06475482861101,campinas,SP
13063,-22.879399201223375,-47.117016057591314,campinas,SP
13063,-22.881985291707494,-47.1150558326504,campinas,SP
13063,-22.882034996393312,-47.11287802192853,campinas,SP
13232,-23.20432952477577,-46.75434574214036,campo limpo paulista,SP
13232,-23.204482502141893,-46.75405497858894,campo limpo paulista,SP
13232,-23.20458257660754,-46.75133454028063,campo limpo paulista,SP
13560,-22.00445009477602,-47.895317878458165,sao carlos,SP
13560,-22.004483114044145,-47.89406122812796,sao carlos,SP
13560,-22.00454049653754,-47.895232164723865,sao carlos,SP
13502,-22.39026289983882,-47.58458837057195,rio claro,SP
13502,-22.402409738512098,-47.560487743320984,rio claro,SP
13502,-22.40384575424726,-47.56664660089807,rio claro,SP
13503,-22.399759680826,-47.576620195104496,rio claro,SP
13503,-22.40033117014822,-47.577131450862794,rio claro,SP
13503,-22.40144428880461,-47.58695507251928,rio claro,SP
13603,-22.33961908881069,-47.4007652020601,araras,SP
13603,-22.34017830396419,-47.39825516179479,araras,SP
13603,-22.340409181516517,-47.401902099774965,araras,SP
13720,-20.768970801736305,-49.36664099299744,são josé do rio pardo,SP
13720,-20.77011623856632,-49.399255414152414,sao jose do rio pardo,SP
13720,-20.782187243308925,-49.352380801424616,sao jose do rio pardo,SP
13820,-22.617968421897334,-47.00715633065696,jaguariuna,SP
13820,-22.617968421897334,-47.00715633065696,jaguariuna,SP
13820,-22.617968421897334,-47.00715633065696,jaguariuna,SP
13830,-22.595055345594524,-46.94284259658489,santo antonio de posse,SP
13830,-22.595352273437133,-46.918530908854294,santo antonio de posse,SP
13830,-22.596677999999994,-46.91887425,santo antônio de posse,SP
14030,-21.135323954757926,-47.81429480835592,ribeirão preto,SP
14030,-21.177583878988987,-47.83876260837331,ribeirao preto,SP
14030,-21.17828625559461,-47.834467465164536,ribeirao preto,SP
14040,-21.1687252076,-47.86934156979633,ribeirão preto,SP
14040,-21.17127173666189,-47.867858425249686,ribeirao preto,SP
14040,-21.171965761873103,-47.86823156258297,ribeirão preto,SP
14640,-20.632391860712968,-48.279570102753006,morro agudo,SP
14640,-20.633842635216663,-48.27633205608242,morro agudo,SP
14640,-20.633842635216663,-48.27633205608242,morro agudo,SP
14680,-21.00446434741486,-47.848469115766065,jardinopolis,SP
14680,-21.014281252108276,-47.76570751594501,jardinópolis,SP
14680,-21.014573811961345,-47.75940747816524,jardinopolis,SP
14801,-21.775450411045075,-48.12828559838999,araraquara,SP
14801,-21.779632665560587,-48.17532532431184,araraquara,SP
14801,-21.77982052358389,-48.17728586705339,araraquara,SP
14860,-21.181047783155446,-48.1540970622482,barrinha,SP
